Story,Output Case,Case Type,Direction,Drift,Drift/,Label,X,Y,Z
SSL 34.00 mPD 8th Floor,DStlS5,Combination,X,0.000226,1/4433,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS5,Combination,Y,0.000248,1/4024,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS6,Combination,X,0.000217,1/4608,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS6,Combination,Y,0.000314,1/3185,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS7,Combination,X,0.00018,1/5542,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS7,Combination,Y,0.000281,1/3559,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS8,Combination,X,0.000262,1/3815,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS8,Combination,Y,0.000282,1/3552,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS9,Combination,X,0.000226,1/4433,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS9,Combination,Y,0.000248,1/4024,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS10,Combination,X,0.000217,1/4608,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS10,Combination,Y,0.000314,1/3185,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS11,Combination,X,0.000125,1/7997,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS11,Combination,Y,0.00021,1/4758,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS12,Combination,X,0.000207,1/4838,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS12,Combination,Y,0.000211,1/4745,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS13,Combination,X,0.00017,1/5877,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS13,Combination,Y,0.000178,1/5627,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS14,Combination,X,0.000162,1/6188,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS14,Combination,Y,0.000243,1/4111,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS15,Combination,X,0.000082,1/12190,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS15,Combination,Y,0.000156,1/6426,1,0,67.5,34
SSL 34.00 mPD 8th Floor,DStlS16,Combination,X,0.000164,1/6108,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS16,Combination,Y,0.000156,1/6402,1,0,67.5,34
SSL 34.00 mPD 8th Floor,DStlS17,Combination,X,0.000127,1/7864,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS17,Combination,Y,0.000123,1/8120,1,0,67.5,34
SSL 34.00 mPD 8th Floor,DStlS18,Combination,X,0.000119,1/8433,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS18,Combination,Y,0.000189,1/5301,1,0,67.5,34
SSL 34.00 mPD 8th Floor,DStlS19,Combination,X,0.000153,1/6517,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS19,Combination,Y,0.000195,1/5137,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS20,Combination,X,0.000233,1/4300,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS20,Combination,Y,0.000296,1/3381,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS21,Combination,X,0.000192,1/5215,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS21,Combination,Y,0.000296,1/3384,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS22,Combination,X,0.000273,1/3657,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS22,Combination,Y,0.000296,1/3377,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS23,Combination,X,0.000237,1/4222,172,45,13.5,34
SSL 34.00 mPD 8th Floor,DStlS23,Combination,Y,0.000263,1/3802,141,0,27,34
SSL 34.00 mPD 8th Floor,DStlS24,Combination,X,0.000228,1/4380,172,45,13.5,34
